protocol,ttl,success_rate,sr_std,mean_hops,std_hops,mean_messages,mean_mae,mean_utility,n_episodes
Epidemic,10,0.31,0.4636538303215659,8.475,2.725161928709639,48.525,0.8148387652809075,0.1319641255884586,200
Epidemic,20,0.37,0.48401586418620557,15.01,6.9339960706318315,65.355,0.8039004379454269,0.11062425746247952,200
Epidemic,30,0.32,0.4676467334823194,22.43,11.30149187465818,62.515,0.8239987342047628,0.11046664723275233,200
Epidemic,40,0.275,0.4476347667709811,30.835,15.040908203894801,67.64,0.7542490240360511,0.083550358529661,200
Heuristic-MADTSR,10,0.12,0.32577699928990017,6.49,3.66154812522884,6.61,0.7995975821818959,0.0920658479715594,200
Heuristic-MADTSR,20,0.125,0.3315488246330816,9.515,7.124152069795243,9.64,0.7646537060216544,0.08905785673398162,200
Heuristic-MADTSR,30,0.145,0.35298440468347714,9.73,8.17011959957483,9.875,0.8218780313666729,0.09609047805353582,200
Heuristic-MADTSR,40,0.115,0.31982250102330834,9.195,8.048656993373799,9.31,0.7605532597181713,0.07678538964364617,200
RL-MADTSR,10,0.085,0.279581525043642,6.825,3.569042634465602,6.91,0.8684990220098724,0.061689293046797,200
RL-MADTSR,20,0.11,0.31367492695304,9.53,6.460479002730651,9.64,0.8035751929572936,0.07881297177228347,200
RL-MADTSR,30,0.09,0.28689990900825446,8.695,7.546970173120458,8.785,0.8298704879121492,0.06751033428919635,200
RL-MADTSR,40,0.115,0.3198225010233082,9.39,7.670206014280681,9.505,0.8191542886164648,0.08177135763056731,200
RandomWalk,10,0.07,0.25578728599833095,6.645,3.683314953303089,6.715,0.7682204561089032,0.05477218764635628,200
RandomWalk,20,0.075,0.2640523018086611,10.075,7.357310998294698,10.15,0.7516419705046377,0.05097848497092916,200
RandomWalk,30,0.06,0.23808279460185092,11.545,9.623462482430833,11.605,0.7907080106634249,0.03605894162553046,200
RandomWalk,40,0.095,0.29395073596757565,11.74,9.86503902551198,11.835,0.8025620844344177,0.04903555399483071,200
